timestamp,case_id,ai_root_cause,ai_confidence,ai_source,decision,reviewer_notes,final_commands
2026-08-10T14:00:00+00:00,NET-001,"Sub-interface Gi0/0.30 administratively shut down, so VLAN 30 has no default gateway reachability.",medium,hybrid,Accepted,,show ip interface brief
2026-08-10T14:00:00+00:00,NET-002,DHCP pool exhausted (no free addresses) or ip helper-address pointing to the wrong DHCP server IP.,medium,hybrid,Accepted,,show ip dhcp pool VLAN20-POOL
2026-08-10T14:00:00+00:00,NET-003,PC2's configured default gateway (192.168.10.254) does not match the router's actual interface IP (192.168.10.1) - gateway mismatch.,medium,hybrid,Accepted,,show arp
2026-08-10T14:00:00+00:00,NET-004,DNS server 10.0.0.53 unreachable or DNS service not responding; no A record configured for www.internal.local.,medium,hybrid,Accepted,,ping 10.0.0.53
2026-08-10T14:00:00+00:00,NET-005,"OSPF neighbor adjacency never formed (mismatched area ID or hello/dead timers), so 10.1.2.0/24 is missing from the routing table.",medium,hybrid,Edited,AI attributed OSPF failure to addressing rather than area-ID mismatch; corrected by reviewer.,show ip ospf interface brief
2026-08-10T14:00:00+00:00,NET-006,"ACL 110 has no permit entry for TCP port 8080, so it falls through to the implicit/explicit deny.",medium,hybrid,Accepted,,show access-lists 110
2026-08-10T14:00:00+00:00,NET-007,"Outside interface Gi0/2 is missing the 'ip nat outside' command, so NAT translation never triggers.",medium,hybrid,Accepted,,show ip nat translations
2026-08-10T14:00:00+00:00,NET-008,"Guest isolation ACL is not applied to VLAN 99 interface, allowing guest-to-internal traffic.",medium,hybrid,Accepted,,show ip interface Vlan99
2026-08-10T14:00:00+00:00,NET-009,"VLAN 30 is not in Sw1's allowed VLAN list on the trunk (pruned), blocking VLAN 30 traffic across the link.",medium,hybrid,Edited,AI conflated 'trunk down' with a pruned VLAN on the allowed list; corrected by reviewer.,show interfaces trunk
2026-08-10T14:00:00+00:00,NET-010,"No primary/secondary root bridge configured, causing root bridge elections to flap (or a port in blocking/forwarding transition).",medium,hybrid,Accepted,,show spanning-tree vlan 10
2026-08-10T14:00:00+00:00,NET-011,"Duplicate IP address 192.168.10.50 assigned to both Printer1 and PC5, causing intermittent ARP conflicts.",medium,hybrid,Accepted,,show ip arp
2026-08-10T14:00:00+00:00,NET-012,"PC6 has the wrong subnet mask (/24 instead of /25), causing it to miscalculate which hosts are local vs remote.",medium,hybrid,Accepted,,ipconfig /all
2026-08-10T14:00:00+00:00,NET-013,"Static route next-hop 203.0.113.2 is incorrect; should point to 203.0.113.1, the actual WAN link IP.",medium,hybrid,Accepted,,show ip route static
2026-08-10T14:00:00+00:00,NET-014,"ACL 10 on the vty lines only permits 10.0.0.5, but the admin's actual IP is 10.0.0.15, so SSH is blocked.",medium,hybrid,Accepted,,show ip access-lists 10
2026-08-10T14:00:00+00:00,NET-015,ip helper-address on the VLAN 50 sub-interface points to the VLAN 10 DHCP server instead of the VLAN 50 pool/server.,medium,hybrid,Accepted,,show running-config interface Gi0/0.50
2026-08-10T14:00:00+00:00,NET-016,"Duplex mismatch between switch port (fixed full) and server NIC (auto negotiated half), causing collisions and errors.",medium,hybrid,Accepted,,show interfaces Gi0/5
2026-08-10T14:00:00+00:00,NET-017,"NAT is configured as a single static translation rather than PAT with overload, so only 10.0.0.10 can reach the internet.",medium,hybrid,Rejected,AI claimed NAT was unconfigured; it was static 1:1 instead of PAT/overload. Rejected and re-run.,show run | include ip nat
2026-08-10T14:00:00+00:00,NET-018,"Port Fa0/12 is assigned to VLAN 999, which was never created, so the port is effectively isolated.",medium,hybrid,Accepted,,show vlan brief
2026-08-10T14:00:00+00:00,NET-019,Two default routes with different next-hops cause asymmetric routing for stateful services (e.g. NAT'd sessions) without policy routing to keep flows consistent.,medium,hybrid,Edited,AI missed the second default route causing asymmetric routing; corrected by reviewer.,show ip route 0.0.0.0
2026-08-10T14:00:00+00:00,NET-020,"ACL 120 has no permit rule for UDP port 162 (SNMP traps), so trap packets are silently dropped by the implicit/explicit deny.",medium,hybrid,Accepted,,show access-lists 120
2026-08-10T14:00:00+00:00,NET-021,"Stale DNS CNAME record points to the old server hostname, causing a TLS certificate name mismatch (application-layer issue, not connectivity).",medium,hybrid,Accepted,,nslookup portal.internal.local
2026-08-10T14:00:00+00:00,NET-022,Physical layer failure on the WAN serial interface (cable/carrier loss) is taking down the only path to HQ.,medium,hybrid,Accepted,,show controllers serial0/0/0
2026-08-10T14:00:00+00:00,NET-023,"Sub-interface Gi0/0.60 is missing the 'encapsulation dot1Q 60' command, so it never processes tagged VLAN 60 frames.",medium,hybrid,Accepted,,show running-config interface Gi0/0.60
2026-08-10T14:00:00+00:00,NET-024,The DHCP pool's default-router value (192.168.10.100) does not match the real gateway IP (192.168.10.1).,medium,hybrid,Accepted,,show ip dhcp pool VLAN10-POOL
2026-08-10T14:00:00+00:00,NET-025,Co-channel interference from AP1 and AP2 both using channel 6 with full power in overlapping coverage areas.,medium,hybrid,Accepted,,show wireless ap summary
2026-08-10T14:00:00+00:00,NET-026,"ACL 130's specific permit rule for the backup host is placed after a broader deny statement, so it never gets evaluated (ACL order-of-operations issue).",medium,hybrid,Accepted,,show access-lists 130
2026-08-10T14:00:00+00:00,NET-027,Route redistribution misconfiguration is creating a routing loop for the default route between R1 and R2.,medium,hybrid,Rejected,AI proposed OSPF cost issue; actual cause was a redistribution routing loop. Rejected.,show ip route 0.0.0.0
2026-08-10T14:00:00+00:00,NET-028,"Only port 80 is NAT'd and permitted; port 443 (HTTPS), which the partner actually uses, has no NAT translation or ACL entry.",medium,hybrid,Accepted,,show ip nat translations
2026-08-10T14:00:00+00:00,NET-029,"The new switch port the printer was plugged into is assigned to VLAN 20 instead of VLAN 10, putting the printer on the wrong subnet.",medium,hybrid,Accepted,,show interfaces FastEthernet0/8 switchport
2026-08-10T14:00:00+00:00,NET-030,"R2 (the standby HSRP router) has no default route configured, so when it briefly becomes active during failover testing, it cannot forward internet-bound traffic.",medium,hybrid,Accepted,,show standby brief
