case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity,next_command
NET-001,PC1 cannot reach Server1 in VLAN 30. PC1 gets an IP via DHCP but pings to the VLAN 30 gateway time out.,Router-on-a-stick with sub-interfaces Gi0/0.10 (VLAN10) and Gi0/0.30 (VLAN30). PC1 is on Sw1 access port VLAN30.,"GigabitEthernet0/0.10 is up, line protocol is up | GigabitEthernet0/0.30 is administratively down, line protocol is down","Sub-interface Gi0/0.30 administratively shut down, so VLAN 30 has no default gateway reachability.",Layer 2,VLAN/Interface,High,show ip interface brief
NET-002,New PCs on VLAN 20 fail to receive an IP address and show APIPA (169.254.x.x).,DHCP pool VLAN20-POOL configured on router with ip helper-address pointing to 10.0.20.1.,"DHCP pool VLAN20-POOL: 0 addresses leased, 0 addresses in pool (pool exhausted / not configured) | interface Gi0/0.20 ip helper-address 10.0.20.254",DHCP pool exhausted (no free addresses) or ip helper-address pointing to the wrong DHCP server IP.,Layer 3,DHCP,Medium,show ip dhcp pool VLAN20-POOL
NET-003,"PC2 has a valid IP and mask but cannot ping any device outside its own subnet, including the gateway.","PC2 static IP 192.168.10.15/24, configured default gateway 192.168.10.254.",Router Gi0/1 ip address 192.168.10.1 255.255.255.0 | PC2 arp table: no entry for 192.168.10.254,PC2's configured default gateway (192.168.10.254) does not match the router's actual interface IP (192.168.10.1) - gateway mismatch.,Layer 3,Default Gateway,High,show arp
NET-004,Users can ping the web server by IP address but cannot browse to it by hostname.,Internal DNS server 10.0.0.53 configured; PCs use DHCP-assigned DNS.,ipconfig /all shows DNS Servers: 10.0.0.53 | nslookup www.internal.local: request timed out,DNS server 10.0.0.53 unreachable or DNS service not responding; no A record configured for www.internal.local.,Layer 7,DNS,Medium,ping 10.0.0.53
NET-005,Hosts on LAN A (10.1.1.0/24) cannot reach hosts on LAN B (10.1.2.0/24) through R1-R2 link.,OSPF area 0 between R1 and R2; static route removed after migration to OSPF.,show ip route on R1: 10.1.2.0/24 is not in routing table | show ip ospf neighbor: no neighbors found,"OSPF neighbor adjacency never formed (mismatched area ID or hello/dead timers), so 10.1.2.0/24 is missing from the routing table.",Layer 3,Routing,High,show ip ospf interface brief
NET-006,Finance VLAN users can reach the file server on port 445 but not the web app on port 8080.,Extended ACL 110 applied inbound on Gi0/0.40 (Finance VLAN) filtering traffic to the server subnet.,access-list 110 permit tcp 10.40.0.0 0.0.0.255 host 10.0.5.10 eq 445 | access-list 110 deny ip any any (implicit/explicit at end),"ACL 110 has no permit entry for TCP port 8080, so it falls through to the implicit/explicit deny.",Layer 3/4,ACL,High,show access-lists 110
NET-007,Internal hosts cannot reach the internet even though the default route to the ISP is present.,PAT/NAT overload configured on R1 outside interface Gi0/2.,ip nat inside source list 1 interface GigabitEthernet0/2 overload | interface Gi0/2 missing 'ip nat outside' | interface Gi0/1 has 'ip nat inside',"Outside interface Gi0/2 is missing the 'ip nat outside' command, so NAT translation never triggers.",Layer 3,NAT,High,show ip nat translations
NET-008,"Guest Wi-Fi clients can reach the internal file server, violating guest isolation policy.",WLC maps Guest SSID to VLAN 99; ACL guest-isolation should block VLAN 99 to internal subnets.,interface Vlan99 (no ACL applied) | expected: ip access-group GUEST-ISOLATION in,"Guest isolation ACL is not applied to VLAN 99 interface, allowing guest-to-internal traffic.",Layer 2,Wireless/VLAN,Medium,show ip interface Vlan99
NET-009,VLAN 30 devices on Sw2 cannot reach VLAN 30 devices on Sw1 across the trunk link.,"Trunk link Sw1 Gi0/1 <-> Sw2 Gi0/1, allowed VLAN list was manually pruned during a change.","Sw1 Gi0/1 trunking, Vlans allowed on trunk: 1,10,20 | Sw2 Gi0/1 trunking, Vlans allowed on trunk: 1,10,20,30","VLAN 30 is not in Sw1's allowed VLAN list on the trunk (pruned), blocking VLAN 30 traffic across the link.",Layer 2,Trunking,High,show interfaces trunk
NET-010,Intermittent connectivity loss and slow convergence after adding a redundant switch link.,"Sw1-Sw2-Sw3 triangle topology, no explicit root bridge configured.",show spanning-tree vlan 10: multiple switches showing 'This bridge is the root' inconsistently over time,"No primary/secondary root bridge configured, causing root bridge elections to flap (or a port in blocking/forwarding transition).",Layer 2,STP,Medium,show spanning-tree vlan 10
